Time,dt,AC Primary Load,Net Load,Pg_max,Eb_max,Eb.1,Pb_max_in,Pb_max_out,Gen_Output,Pv_Output,Wind_Ouput
1/1/2016 0:00,1,1074,-192.057,1637,8927,8927,0,6775.13,0,0,1266.057
1/1/2016 1:00,1,1024,206.9756,1637,8927,8697.363,0,6775.13,0,0,817.0244
1/1/2016 2:00,1,1010,389.398,1637,8927,8265.299,242.0768,6557.261,0,0,620.602
1/1/2016 3:00,1,1049,1049,1637,8927,7101.359,697.5129,6147.369,0,0,0
1/1/2016 4:00,1,1076,1076,1637,8927,5907.46,1924.413,5043.158,0,0,0
1/1/2016 5:00,1,1022,1022,1637,8927,4773.479,3182.893,3910.527,0,0,0
1/1/2016 6:00,1,1009,1009,1637,8927,3653.922,4378.214,2834.737,0,0,0
1/1/2016 7:00,1,1072,793.3505,1637,8927,2773.643,5558.332,1772.632,0,0,278.6495
1/1/2016 8:00,1,1144,873.7778,1637,8927,2331.171,6486.227,937.5261,475,0,270.2222
1/1/2016 9:00,1,1245,1049.109649,1637,8927,1785.404,6952.633,517.76,557.2376,0.1845514,195.7058
1/1/2016 10:00,1,1281,571.5974934,1637,8927,1785.404,7527.922,0,571.5974,0.05660665,709.3459
1/1/2016 11:00,1,1235,1234.95965,1637,8927,1785.404,7527.922,0,1234.96,0.04034967,0
1/1/2016 12:00,1,1279,1277.985855,1637,8927,1785.404,7527.922,0,1277.986,1.014145,0
1/1/2016 13:00,1,1287,1056.783404,1637,8927,1785.404,7527.922,0,1056.783,0.9840965,229.2325
1/1/2016 14:00,1,1334,1333.68616,1637,8927,1785.404,7527.922,0,1333.686,0.3138399,0
1/1/2016 15:00,1,1332,270.5384388,1637,8927,1969.674,7527.922,0,475,0.1345612,1061.327
1/1/2016 16:00,1,1238,-535.848789,1637,8927,2880.701,7333.684,174.8146,475,9.820789,1764.028
1/1/2016 17:00,1,1198,-404.888,1637,8927,3245.605,6373.378,1039.09,0,0,1602.888
1/1/2016 18:00,1,1297,891.6034,1637,8927,2256.308,5988.734,1385.269,0,0,405.3966
1/1/2016 19:00,1,1421,-209.167,1637,8927,2872.913,7031.545,446.7392,475,0,1630.167
1/1/2016 20:00,1,1410,-1229.03,1637,8927,3980.575,6381.586,1031.702,0,0,2639.03
1/1/2016 21:00,1,1352,-435.825,1637,8927,4373.362,5214.008,2082.523,0,0,1787.825
1/1/2016 22:00,1,1431,994.4906,1637,8927,3269.904,4799.975,2455.153,0,0,436.5094
1/1/2016 23:00,1,1338,636.4835,1637,8927,2563.681,5963.121,1408.321,0,0,701.5165
1/2/2016 0:00,1,1282,268.384,1637,8927,2749.893,6707.546,738.3384,475,0,1013.616
1/2/2016 1:00,1,1273,414.1979,1637,8927,2804.691,6511.261,914.9954,475,0,858.8021
1/2/2016 2:00,1,1256,-302.781,1637,8927,3077.573,6453.499,966.9811,0,0,1558.781
1/2/2016 3:00,1,1296,1018.2623,1637,8927,2474.784,6165.857,1225.859,475,0,277.7377
1/2/2016 4:00,1,1308,467.3415,1637,8927,2481.687,6801.251,654.004,475,0,840.6585
1/2/2016 5:00,1,1233,-1666.812,1637,8927,3854.688,6793.976,660.5521,0,0,2899.812
1/2/2016 6:00,1,1219,-61.74,1637,8927,3910.332,5346.705,1963.096,0,0,1280.74
1/2/2016 7:00,1,1254,-1192.57,1637,8927,4985.134,5288.052,2015.884,0,0,2446.57
1/2/2016 8:00,1,1339,-218.319,1637,8927,5181.894,4155.11,3035.531,0,0,1557.319
1/2/2016 9:00,1,1467,687.4361789,1637,8927,4419.134,3947.708,3222.193,0,0.2759211,779.2879
1/2/2016 10:00,1,1422,-755.362644,1637,8927,5099.904,4751.727,2498.576,0,3.391644,2173.971
1/2/2016 11:00,1,1319,-1308.82283,1637,8927,6279.48,4034.132,3144.412,0,13.10783,2614.715
1/2/2016 12:00,1,1326,-246.78643,1637,8927,6501.896,2790.75,4263.455,0,18.04643,1554.74
1/2/2016 13:00,1,1295,-721.26345,1637,8927,7151.935,2556.303,4474.458,0,10.55245,2005.711
1/2/2016 14:00,1,1321,-1281.7836,1637,8927,8307.141,1871.102,5091.138,0,28.4676,2574.316
1/2/2016 15:00,1,1339,-343.577565,1637,8927,8616.79,653.4078,6187.063,0,8.565565,1674.012
1/2/2016 16:00,1,1294,-460.592858,1637,8927,8927.018,327.0087,6480.822,0,1.461858,1753.131
1/2/2016 17:00,1,1277,983.6092,1637,8927,7835.633,0,6775.13,0,0,293.3908
1/2/2016 18:00,1,1451,1029.6649,1637,8927,6693.147,1150.42,5739.752,0,0,421.3351
1/2/2016 19:00,1,1566,1350.2711,1637,8927,5721.972,2354.707,4655.895,475,0,215.7289
1/2/2016 20:00,1,1554,813.2719,1637,8927,4819.589,3378.415,3734.556,0,0,740.7281
1/2/2016 21:00,1,1456,1170.6815,1637,8927,4047.681,4329.61,2878.481,475,0,285.3185
1/2/2016 22:00,1,1529,1529,1637,8927,2878.193,5143.273,2146.185,475,0,0
1/2/2016 23:00,1,1442,967.2845,1637,8927,2331.968,6376.021,1036.711,475,0,474.7155
1/3/2016 0:00,1,1394,852.5878,1637,8927,1913.008,6951.792,518.5168,475,0,541.4122
1/3/2016 1:00,1,1358,767.5491,1637,8927,1785.404,7393.416,121.0561,652.5458,0,590.4509
1/3/2016 2:00,1,1314,968.6771,1637,8927,1785.404,7527.922,0,968.6771,0,345.3229
1/3/2016 3:00,1,1326,361.1898,1637,8927,1887.975,7527.922,0,475,0,964.8102
1/3/2016 4:00,1,1333,-211.07,1637,8927,2506.295,7419.803,97.30774,475,0,1544.07
1/3/2016 5:00,1,1259,-1208.83,1637,8927,3595.752,6768.036,683.8979,0,0,2467.83
1/3/2016 6:00,1,1231,562.609,1637,8927,2971.497,5619.647,1717.447,0,0,668.391
1/3/2016 7:00,1,1261,217.603,1637,8927,2730.052,6277.67,1125.227,0,0,1043.397
1/3/2016 8:00,1,1376,-1368.118,1637,8927,3963.067,6532.176,896.1717,0,0,2744.118
1/3/2016 9:00,1,1506,-1495.305872,1637,8927,5310.71,5232.464,2065.913,0,1.305872,3000
1/3/2016 10:00,1,1492,-1447.44017,1637,8927,6615.214,3811.923,3344.399,0,19.10717,2920.333
1/3/2016 11:00,1,1423,-183.14599,1637,8927,6780.274,2436.855,4581.96,0,34.97399,1571.172
1/3/2016 12:00,1,1499,-1297.49232,1637,8927,7949.638,2262.867,4738.55,0,42.53632,2753.956
1/3/2016 13:00,1,1492,28.50199,1637,8927,7918.013,1030.249,5847.906,0,43.34301,1420.155
1/3/2016 14:00,1,1490,-1192.59976,1637,8927,8927.018,1063.584,5817.904,0,35.27076,2647.329
1/3/2016 15:00,1,1480,-1191.04413,1637,8927,8927.018,0,6775.13,0,18.82413,2652.22
1/3/2016 16:00,1,1429,-319.0968,1637,8927,8927.018,0,6775.13,0,18.3298,1729.767
1/3/2016 17:00,1,1370,-1570.102,1637,8927,8927.018,0,6775.13,0,0,2940.102
1/3/2016 18:00,1,1469,-1531,1637,8927,8927.018,0,6775.13,0,0,3000
1/3/2016 19:00,1,1540,-1460,1637,8927,8927.018,0,6775.13,0,0,3000
1/3/2016 20:00,1,1529,-1466.302,1637,8927,8927.018,0,6775.13,0,0,2995.302
1/3/2016 21:00,1,1464,-1536,1637,8927,8927.018,0,6775.13,0,0,3000
1/3/2016 22:00,1,1515,-1475.163,1637,8927,8927.018,0,6775.13,0,0,2990.163
1/3/2016 23:00,1,1453,260.207,1637,8927,8638.3,0,6775.13,0,0,1192.793
1/4/2016 0:00,1,1379,928.9656,1637,8927,7607.547,304.3353,6501.229,0,0,450.0344
1/4/2016 1:00,1,1304,25.957,1637,8927,7578.746,1390.845,5523.37,0,0,1278.043
1/4/2016 2:00,1,1274,-210.326,1637,8927,7768.302,1421.204,5496.047,0,0,1484.326
1/4/2016 3:00,1,1309,505.3506,1637,8927,7207.58,1221.394,5675.875,0,0,803.6494
1/4/2016 4:00,1,1308,-350.982,1637,8927,7523.901,1812.447,5143.928,0,0,1658.982
1/4/2016 5:00,1,1246,-1752.873,1637,8927,8896.903,1479.015,5444.017,0,0,2998.873
1/4/2016 6:00,1,1218,-1782,1637,8927,8927.018,31.74364,6746.561,0,0,3000
1/4/2016 7:00,1,1315,-1685,1637,8927,8927.018,0,6775.13,0,0,3000
